uid_1,uid_2,name1,name2,sound_dist,name_dist,is_psfix,cat,res,to_keep
7fe3896c-b470-5140-b15c-07a7be318cdc,1f2d5480-7680-5464-9f9a-8517b8ad02ef,Lady's Choice_Mighty King Kong_Side B,4. Oringo_Lady's Choice_Mighty King Kong_Side B,5.0409241707458445,0.23308414797776505,1,above_st--below_nt--psfix,0,-1
5f74aa20-bc8e-5b88-ac90-19c69cba06ed,142a2ca3-b57a-5289-966d-4c5180a4e79b,5. Track 5_Malika 11_Side B,Malika 11_Side B,4.356767416151173,0.2816358024691358,1,above_st--below_nt--psfix,0,-1
e9b594cc-869c-5677-b4d5-70b1989a1371,370bad70-6831-5957-a19f-b22e3c0c888a,Moh'd Shali Vol. 9_Side B,4. Track 4_Moh'd Shali Vol. 9_Side B,2.2119246827459054,0.2551851851851851,1,above_st--below_nt--psfix,0,-1
e9b594cc-869c-5677-b4d5-70b1989a1371,f997fce7-7a9f-5bcc-ae41-3cde32c80dea,Moh'd Shali Vol. 9_Side B,3. Track 3_Moh'd Shali Vol. 9_Side B,2.4969921322960595,0.2551851851851851,1,above_st--below_nt--psfix,0,-1
58ead556-b0d1-5709-9f38-1140934de0fa,f0272b5b-d6a1-57d7-8623-cfecfb2836f7,Slim Ali Vol. 2_Side B,8. Dancing On_Slim Ali Vol. 2_Side B,2.1145679327513034,0.2508417508417509,1,above_st--below_nt--psfix,0,-1
58ead556-b0d1-5709-9f38-1140934de0fa,acee3bf0-7e9a-51c5-8152-dcfba0585da1,Slim Ali Vol. 2_Side B,5. Dancing On_Slim Ali Vol. 2_Side B,2.3327961071185874,0.2508417508417509,1,above_st--below_nt--psfix,0,-1
1eda898e-4782-5834-b141-f21956450b0c,ea04843a-e326-50b9-86fa-36c4c5540093,"20 Wasla in al-Mustaqim_ Nay taqasim, quatrain number 232","07 Waslah in Rahat al Arwah_ Improvisation, quatrains 209, 295",0.2214197013299836,0.2692932004931058,0,below_st--below_nt--not_psfix,0,-1
1af81d93-0697-54f6-af3e-436190f6e01a,bbf2da2e-2b41-51c2-bdc4-f3394ea7bdbf,2 Audio Track,02 Track 02,0.0034722044235674003,0.34411421911421913,0,below_st--below_nt--not_psfix,0,-1
eb0e6313-1ba2-5c8a-93d9-0e86a507dedc,76f866c4-a801-5429-9223-c668e30dc391,T56AdiComp3Kan70bpm_stereo,T56AdiComp3Kan70bpm.R,0.0,0.07289377289377286,0,below_st--below_nt--not_psfix,0,-1
9f9ab1d2-4b74-5522-9060-4b702df74859,29d5f821-c574-5bb3-9dd0-323bed1e5e51,T120MisraComp4Voc125bpm.R,T120MisraComp4Voc125bpm_stereo,0.0,0.06266666666666665,0,below_st--below_nt--not_psfix,0,-1
e2980254-49d3-54de-979e-9a4b40d23e01,bc52a462-0572-5126-be22-ba059808ecb5,Zein Concerts 9_Zein Musical Party_Side B__Corrected,4. Kifaka_Zein Concerts 9_Zein Musical Party_Side B__Corrected,3.905004020745132,0.1883788254755996,1,above_st--below_nt--psfix,0,-1
e2980254-49d3-54de-979e-9a4b40d23e01,933d9a5f-f280-5ae3-a22a-841e00e00225,Zein Concerts 9_Zein Musical Party_Side B__Corrected,3. Moyo Wakupemda Haufiti Siti_Zein Concerts 9_Zein Musical Party_Side B__Corrected,3.9586350699573023,0.2847544022242817,1,above_st--below_nt--psfix,0,-1
0f6fa222-81fd-5093-ad1f-11b38e38bd8c,fca2b9e3-03c4-5c77-904d-01dac13f1ddd,1. My Darly_Wana Metro 'B'_Side B,Wana Metro 'B'_Side B,3.5820801602578265,0.26406926406926395,1,above_st--below_nt--psfix,0,-1
704bf8b6-6521-50f8-b6c7-a02096e51bd1,db841bea-e711-5725-af73-4cb1b62d0310,03 Erdi Koududaha,3 Audio Track,0.0020289026048089178,0.3335009217362158,0,below_st--below_nt--not_psfix,0,-1
d31aca7f-d914-5117-b1b6-1c7ff628e3d3,b13e60c8-be75-5572-9fa4-7f5db1b34b8e,T82MisraComp1Voc210bpm.L,T82MisraComp1Voc210bpm_stereo,0.0,0.06494252873563222,0,below_st--below_nt--not_psfix,0,-1
346ae5ab-c76b-5606-8ca7-c20808179fad,8d06f56c-e2b0-5f48-8726-4c1330eef9cb,1. Sina Shaka_Eid El-Fitr Special Taarab '99_Side A,1. Sina Shaka_Eid El-Fitr Special Taarab '99_Side A__Corrected,1.190685583425604,0.03548387096774186,1,above_st--below_nt--psfix,0,-1
2e7bca00-58bc-5ad9-8a56-7315b5753030,f070dc4b-94b3-5af5-ae49-7ed78363db62,2. Enyi Masapota Wangu_New Bhalo No. 18_Bhalo & Party_Side A,New Bhalo No. 18_Bhalo & Party_Side A,3.3317997143779503,0.2854354354354355,1,above_st--below_nt--psfix,0,-1
2e9f7620-bb06-5787-a458-0342f8f94cc4,55f902da-f2e9-59ac-8449-a432de5cf788,7 Audio Track,07 Track 07,0.0017977709454151441,0.34411421911421913,0,below_st--below_nt--not_psfix,0,-1
6e9c7e89-8978-59b2-9130-12311d4c9a68,84ee2bb0-59b0-5b2d-9bb5-d5b127cf9412,T39AdiComp2Mri105bpm_stereo,T39AdiComp2Mri105bpm.L,0.2811193630521097,0.07003367003367,0,below_st--below_nt--not_psfix,0,-1
29093069-4d89-5982-aabf-c87de846c798,ed6a4596-e4bc-55b4-b652-418e33499fb9,T42AdiComp2Voc85bpm.R,T42AdiComp2Voc85bpm_stereo,0.0,0.07289377289377286,0,below_st--below_nt--not_psfix,0,-1
dfcdc1b0-82de-56e7-9dfa-5f4a5bc516d2,77b99794-5788-5008-915f-ed9f13a81fac,2. Hodhi La Mahaba_Cassette 26_Side A,2. Hodhi La Mahaba_Cassette 26_Side A__Corrected,0.4196966143901077,0.04583333333333328,1,above_st--below_nt--psfix,0,-1
b0d2e9ae-4fd9-535c-96e0-621a7bb05c6f,b61231dc-840f-5e51-86e4-3f72745eb52e,11 Manni 2elak,11 Audio Track,0.0008551731121358161,0.33333333333333337,0,below_st--below_nt--not_psfix,0,-1
6e83781f-3905-589e-a77a-5e986840a08f,8e41d2c6-0958-5e4f-9da3-782c755eeef4,3 Pole Pole_Simba Wanyika in Europe_Simba Wanyika_Side B,Simba Wanyika in Europe_Simba Wanyika_Side B,4.409368083506288,0.2305194805194807,1,above_st--below_nt--psfix,0,-1
824d304b-608e-5cd1-b4fc-5b3023517d00,a71944eb-8484-5d55-a405-169e920d41ab,T129AdiComp5Voc70bpm_stereo,T129AdiComp5Voc70bpm.L,0.0,0.07003367003367,0,below_st--below_nt--not_psfix,0,-1
e6361f93-8e9f-51cf-80ec-3b669d058e19,6a95e59f-0886-504d-8c25-28f59a5ecb04,Cassette 7_Side A_Corrected,Cassette 7_Side A,0.4322022285283415,0.07407407407407407,1,above_st--below_nt--psfix,0,-1
